Username,Password,Registration_Date,Num_of_Art_Edited,First_Name,Last_Name,Salt
\u/@CM^$\*ggwX*Lx,kHcmG%KMVo#QD%el@dyy%#%SX,8/18/1983,39,Gwnqneggiqgfg,Sewueekmndq,17:15:23
L*hR/HT,s\z/@Ek&ZE%,9/8/1993,65,Igpwcsb,Wtpnsl,7:21:21
^^*BOw##BeTBA%d\Bk,\$J/v$n&BMW%v@L$$SkpP!%xEG#\K,7/17/1990,18,Lypkgkedos,Ttkyadgmeeysn,4:11:5
^vm@va/!&%^,H\lx\Hr&ViKx^/^#Ov@b,2/22/1981,68,Rludbmxksdu,Zshawyl,13:29:24
X!ol\jQZs*H^FtoS\,XJQzFIBz^L*X\\*G\VyY\/,4/7/1993,118,Jybhtcq,Gvnamaawtf,23:4:11
Lo@xfIptJr&\qF&^,Qvuc&xBb%^zW%PB,8/11/1996,56,Udgqlktqwmpw,Rdwwylhbmqrjb,5:46:53
*$u!@c*RoC\^,d@#IjO\/&m!^NgWB,7/10/1957,66,Aoeojpgffp,Dticpbsv,16:50:13
^$\!!*,&i@!\P*lwbSwS$XGpeQjfanSBr!hT,5/15/1990,0,Lxabbcafjhx,Zqhonhxl,7:46:16
iJoQ*E^xzY#!kO*@&o*M%o,&r$NoS%\/,6/26/1987,26,Uibqhls,Ngbgunrowaw,23:1:22
lE/^@qFnYbFqC@*!,hrF&*%kkC!$@/,4/5/1982,36,Tbdabcwk,Bdgqhryxgldyvbp,7:29:7
&^$oMM%lzBp#!Hfcs!amFpHhsm,$iGW$%bO\oyM/lP\,10/12/1966,33,Bvaguftgrdkmq,Lysrdvlseahp,19:31:33
Lt@B&e@Y/iYQ\\O/^/MmeTzR$&!%MN,j*^^#A^O/NLCsRy,11/28/1980,0,Tddnkqskiv,Raimlpenbymp,8:26:51
kcZ^$/\$,&P#vlMUgbZ\!yhj,5/16/1955,7,Xpfgcwrrigtk,Etnyltnlwlipqu,21:30:30
#tvg@//g%XDd!ln,WI\^AX/Bv@R&JJlc%DC%X#bB%,3/23/1974,117,Fsjqaostyfjerf,Nhonhhu,7:4:9
zgNOoz*k##pMmK@%**e!\Bx\yZJ,MkUee%UXL#JGfP^o@jzQU^@,10/21/1999,4,Ljqygk,Lkmvum,21:9:7
th^tts%jH,$K^Wy$Dv&GJiPf$*r*AltGF@,10/12/1969,144,Djdqokivj,Hvmqofyddfl,18:11:9
nf^u\\/@mPWSwbpmIR@Y%xw$A,@Db\Ob@#V&!u$/\WqlY,10/20/1951,0,Bytgqrrbpspp,Utniqpfowmfb,14:32:53
&SXv,oTxYOENafh&@e*d!%BGzAK/X*&Qsw,8/23/1962,0,Uvcphd,Podrqp,2:54:50
NpZh@Uwo%kmzhq/Buq/\QsplcNB,$&BCX/zPOCBnx,5/27/1979,73,Gaktnkursfqeptn,Feffjwbiga,0:19:51
nIzk,#%u#%!k!bc\CW,2/8/1979,86,Joikkogvnjrkyoq,Rsqaecebcspxtj,14:38:42
miVbaOcI\!jBYRG,Ztgvv/J%%@z/#TnN#OP,1/16/1967,77,Lfxtviqekidmgp,Ikybsa,13:35:5
Bz@wVW#@$a!E/Qdo,aG*IZo/Y&Gh/%mysafG,11/5/1963,93,Igwkdefyuwuiq,Okdxulwsvxi,9:32:52
y*Mu,XlTj*Q^n%%Y@m\QVlE%#cvchXJce&,11/2/1953,39,Bugyuvlq,Pwvkyn,0:41:27
B&Ff$AxkR,b!xYshRL/W,2/23/1958,0,Timwcawmffvvlr,Lrtmfenhliwj,6:1:16
R%luVqkHSe*C^^F&b\/J,%#/&V/YEW^O%f*O,3/19/1971,98,Qiadsjkqubw,Jqeipacpwtupiaa,7:34:4
Dl\*$d@MT/Q%T$UJ,\$CYqrYqK#iZsa#wzs@\xSAIXa#Ke*,1/31/1977,12,Oatyqfiuglfmw,Jdahssdrpemr,0:31:38
epH&KYCU$%#,oUsCNT$Aw\A%^,10/4/1988,0,Iiwcfd,Emybtubtow,0:56:59
&v/ipo/,@V!mRyuG%!K*d^W%L!#vkOK*&P@\#&,6/17/1952,0,Uqehngolv,Vrdvpi,22:8:49
cd$\$Z$!/QAn^d,Px!Zmk\!OazANAuc/&!%v\H,1/25/1963,41,Txecktbcpevc,Dpgkpttqn,12:14:47
I$fENLldmH^QJZdp!#*QvJ#!R&AovM,d!IQg/ylC#y!oJmjDUfaGA,12/26/1991,0,Thqdlgkyimgna,Qaeigngungrxht,15:39:54
ucG*ZT@kh@D,\woWg*YHVKl^NJL@c@t,5/24/1973,0,Lqadpexxlqct,Dekgkayb,17:44:24
GhH$Ez,ol\$$c!!WNCWZfqGXw&Gi,5/30/1983,0,Xchleryxvnrvtg,Awjcxct,10:26:22
sZIn$#Df!YFpq/y*yR,#sC!R%xeYR*mH^b@/#YA^wo,4/2/1983,183,Nnrobq,Fiegjmshv,12:34:5
AqvDzHPq,C@\ZKa\EXkDi@!Kvq@!^POCF,1/18/1990,17,Mmhmvjmgmxqy,Pbddewrilt,17:49:36
RDf\/nfpEvbNah^Jj$##SLJ^wn@/,!EewNK*Y!MH\VpJsrTEEC/&EM,3/18/1977,0,Gkkifggos,Svxohfeutu,5:1:50
XrlR!w#*pHq%BAJutg,DH@Cg/TAvM,1/13/1958,117,Txtuosx,Jvfelmyouadpo,18:27:44
!lSjbV^y@H!#gBSi#yutm^ih,z//s!FkjC\/FlfALmLACl!Ja&B,9/10/1988,42,Lwhculyg,Qyjoukbjlkjy,16:51:41
GO@ovEyy%C,%#Cj^NF\P#dPyr*xY!CjoH@\RThzY,9/22/1967,88,Eveovnuakllk,Kuljspthdbanpwm,8:12:46
E!dbKdNT*Yk$EK,I#T!$OrmN,9/13/1968,9,Tmufukr,Rweoaf,6:32:33
eWbyj!!/@qCq/mfIWO%KBLzuLXS#@\,^@$@\!#\Kr*HL#pIKh*GG/!euS#j,2/10/1977,0,Psecxuupwhem,Oikopxfut,8:46:17
%p*PXw$#@HQ\ET,R$VB\#IEa&F!/C,11/16/1976,73,Fpaawdycpc,Jiepgcnxghv,21:7:46
u@p&EV&%#H$q#j$vlo#vwX/,gojU\&JW/gnn,10/25/1981,22,Kyqoanaysi,Lnbcylcnowlxdx,14:35:10
$lMFn#jA^J$O/,@Nlv$XCBXKb/IrW&^YP^!mUKLx,3/4/1969,8,Vhhyldsqb,Ubojnjodljgq,3:49:24
!v!/,@\WPPTOcNsdb**L^JD!PWl%!RBuqJa,8/22/1975,176,Hkcdjmqe,Kltqqdf,20:31:18
rW#!/F*N\Fc,uYEfegTBJ,11/10/1950,10,Sjhlsdyecwya,Utopuiwigs,15:54:47
xkGpo,#kw$*$&xoJ%I$ya@s,2/23/1998,84,Cqcqowxlbuqxn,Sxwxtrsgi,7:52:36
fPSCzBkrs#eSdBKuS!!K,$/T!bAiAtjL@DI@!O,10/29/1994,0,Hirbuqvfwm,Reowdyejr,1:45:31
@%kF,DsyZJZjGU\@eU&zxFjQNdp@$V,8/5/1966,137,Aieoag,Egkuxyqwoc,19:49:10
AA$bhRv***M\^F,Jb%!wI!CD$MJ/&g$%Yzlun!v@LE^^,10/1/1964,105,Cbsredaloojst,Qwshwoodjt,1:36:52
@#nB!KK#aq!!R!\u*IuOezDT,%/!VcQus&ina/cA*u*Hg%vTZQ,7/11/1982,36,Dteqkdnde,Zslusft,7:23:55
dtr!!Pc!e,*$*iia\!\%h/,4/15/1984,34,Bjudebqslhx,Bxctxnuxcyhscd,17:34:11
I/ebOu#uA!%B^V*IaAmY%ViL\x,avD**gU!XouWG*\\EusXRznqR!r/jV,10/17/1962,0,Arccxgqf,Rlpkokecdtav,16:34:39
I%YAc%p\YG\&JtU*\,F^HR/PJd^Epnn#Vgblguj\,7/15/1956,129,Cljbwlhevp,Yqlxkbip,4:34:13
YSnHbf!mr!^e#,V$Fc$ereIX/kLKe,9/14/1997,74,Avmbgdxae,Ndrunkr,21:39:37
zp&!lGx$e$XxN/Ilt$,aT%L^S@$F$e!YM^nH^AtTuowheoM,11/18/1950,0,Cokswvgfjqi,Dyvmeniobsboi,5:18:57
@^XEAMvosv&R^jC%,A*$sqaUTkcyv,5/28/1981,0,Zbbxujcyqugp,Wdiwuovohfp,23:55:52
%Gw\\$iHM^GE\a!clA&$#TcAFd,GxR^nUm\@PcUNTCAvE%,4/5/1981,53,Qjpbwhe,Fxgmfdgqjqg,5:49:44
@IG%Zd#XV&wB&Va//lySmLrydCCaK,ywKK/*&x$kFKw*i/QHDIp,12/30/1993,13,Jgdvnpwnfxorq,Nhbohg,20:8:16
sQ@@MuwOwn,@A\&#c@\GjN*\X,12/17/1957,28,Ljuwomtkkdqen,Aqeschvssadk,18:31:27
i@\P@x*PhS/xNGsH/,xjNtlz#jR&\\viym//VOBW$ti#,12/16/1970,95,Gdfjsivomjxudi,Yolghlvf,22:48:55
Z#NZDGIymx^m,@DjjOB$^iHBE!i@,6/7/1981,0,Yrjtfjuspqnamt,Nticbjlgdmm,17:47:15
IFw^%VJp*Wl%h\&fv,Mu&#NGj**OA#q%VH/\!U^Pxi!#^zp^,11/25/1985,0,Zsianxkhntxm,Wvusaehdi,15:34:42
Zz%edz@zXF%vpIO/Bb#RGJ#zo&mK/!,qH@F/b/T@s^CmsW@CHs/f^i!opY*R,10/31/1969,17,Sgthfshnapwiqjr,Aduaah,23:23:2
k/#d*IK^$b$R\uavFE,$K&hatVq,7/3/1992,0,Mjqygtqphkgkjud,Ucqotvc,21:41:46
WJo\k*pq$#H!^w%%WbL$Gb%I,OuHBJp@KS/iMy#f$*v@!#y/U*jULn@,6/30/1952,84,Zejpog,Aomcjlkjyupesi,22:46:38
\ypjZYi#IzF%VpDGwK,isn/TpTmqH#LKy#\UQ,4/16/1954,63,Fkbvtp,Ubwblxewdyudsh,19:35:30
&%r#&X%ghjk&Ly^hJG!Lo^$$In*T,hRjbtN$$c^^AGF@d/KZ,4/25/1977,29,Cxfphwlemffyr,Gmrntyiq,19:48:14
*&CV\G@!Ls!%DjTOp$QXA##oWJ#,sCHEKg^Tu,3/15/1988,21,Dsdialpb,Acwvxacuen,17:24:53
%*\DmZ$bUo^IM%FWAb$&Ux/,S@FK%#SknsSdD@aPuo&ecX/ycOY\,4/18/1977,98,Ueigysgg,Xbjbcmjxp,15:46:35
ZsTa,e/UAV^#J^%\@WwyuQW@#%x,3/29/1963,35,Mpbrqvfcon,Cklyiljmxhnvq,7:38:2
$%xo@elto\NFOAKu&!i$Y!,jagnsZ^B//%^T*Y,2/17/1978,36,Kpjcrxmnkepfl,Vmstjhnhpulkg,2:52:17
Sy@zzbzVm^qnRACeh,oP#KXsBB\,12/26/1985,83,Qlqposecsth,Vvvbnpdm,5:30:54
ki&&aQ&/uK&VIZE&R\*&mXOUE,/V*CS\&LABv&zoF@z@,10/2/1972,5,Brwdxx,Lmaiacihjimubqh,18:12:7
UYc/Vb#@\bcp#,/HeKzC!%!W@pOICNSXuqwL,2/20/1991,152,Agwccumxsg,Mylycpdi,22:17:39
OAHr**t,lONJwR&I@KJf**hFb&&nZf@P@Ke,11/13/1974,79,Ufhuidma,Nkjphgqfvknai,9:56:5
HTdC*%mpNr$DuemfF&S^T,t*SGea/ObTkQUroBb%uZ*y^DDF#L%,3/27/1999,40,Hnvhwbfpdiod,Asgchltcwxjc,11:22:32
Dcgl^EpIgdTyY*zeri%/\X,SFz@@@F*X\l!%%c&$lPlkb,2/12/1983,46,Lardgvjuhsj,Tslfvxdmkl,8:39:19
k%xe/y/E\zwv/Q@,!pnQIqPItl*\,3/17/1992,0,Mnxvivacwa,Jotduecenxrsa,13:44:44
J*!s%!^^&/&Dwdd/EDMVYwi#gpPR,k#RN\oV&d%*$M*&,11/29/1994,66,Mlxqwhn,Dgvumyakcwni,9:52:17
&\YHTBcsIZL&Tss*SwO/ib@#s,OawSVkXgr$BF#,1/11/1967,91,Cywbjfpes,Dkietwjbmhi,18:43:12
d^*MfY&H@QHVD#@sV%&/FV#,Qi/DwAeK@\y/UBD%*\,10/15/1983,82,Uosflu,Nddgfiuoouxta,8:18:27
upwY/*\NT@/lzsL,TF*p%AnU$ch^K@vqOCQPQ,4/17/1987,0,Pvlgrjrdsssyw,Gxdsrf,23:52:1
!/YM@\AXzSP&l^#oDqvfAh,\GBNuL$*iB,3/2/1988,0,Gnhoiqno,Ipuyjwamqg,0:5:1
XItdMsby*\J/!xGB$/%FcQFiXI,\&foT*\OW^*X#%\,11/5/1994,22,Boiaskloofaow,Ahqvvvhgqwvv,9:43:16
@dj/zuf&xA%NywQ^JLcYU/*V/PcV$,H\YQNrKvNh/%&RO$rOnF%%e,9/16/1986,147,Jewgivu,Uyghkgm,4:24:23
*n&BhE,\&rDhwE*,2/21/1959,6,Tmnilsv,Jieodvcedpvr,4:49:45
FDMew$fXs\xl*Zb&sGehpM^U,Io*!zPvJ\eA/!$nZJ,9/12/1953,4,Vpdwrbrdfwvyfm,Qpmbpjhuysfg,21:42:48
TTw!^k\@&,tl$#o&$JqZ^q!\Q$S\VUk\*,6/14/1976,0,Rjdngdaoqua,Cvwybt,7:26:25
d%s@&hJf&\*!H/MlYH@p$qnS^CUHPL,&v\W^Z$bZD$f!*mK%b*rGJtO!,12/12/1987,76,Ihwbvqnmghatmp,Iwhiguavsq,6:42:9
p&#L@nq&ZeQ*#d$ba^$#,%@SAcZQO\%F^IN^Zh\!Yz,10/21/1989,37,Tfyojsvgdl,Mydnedp,1:26:0
^/W^l$b%*%u\&xHoB,dtXAc*yO\&a#*\U@^\,12/29/1983,85,Xdxwitichg,Ajnjcqefqynowps,6:58:45
PF#H&ZhyZhqXK@%LeJsHsW%N,Zy*qjz$mkMpBzBPRX^d@GyIIH^*,1/11/1994,14,Ibavhdn,Glwrjhogwvu,5:54:6
k&KHJ/NjII$yC!r$@*,^*oUat/ca/mMh&&,9/28/1997,70,Lbkenvdj,Bvugasemnpmbhpg,11:8:54
FcL#u@Ytm\N^fkwi#ku/gy$#cP*%,lVqGCwWDgwvg@sKmS,12/18/1992,77,Ytdcywddmrbmh,Ftvxoruiskch,14:17:11
o$l!Se%J\iX&WtkJW!*%,^#xq&HmLL$Wp\^H,8/13/1972,28,Oqkabrjuwptudv,Zmtcnydjshaktc,9:25:3
zBV$XbPgnR&%^T/B,e*rbk\nt%s@J^XjXW@p,1/6/1983,155,Klqgimuussqww,Qdtqrlfwx,4:21:4
l^&@wDA&/QPnb,&M*\RQM\fVIUZ,11/26/1999,71,Ngaqjlxedk,Hoskwgqacoo,6:4:2
MintGNN&o,H%#&@!BNFbce,7/7/1977,0,Ksfmetbmvcxrw,Ivsmbwbabrw,2:46:31
dniz$*M!e$,RSyUd$/q,10/10/1980,3,Kdenwf,Iddmvccf,2:7:50
A#SpA,nGp#b@#XP,6/4/1968,0,Wuubjsjykir,Tpsqvq,13:42:54
*KNRZS!@\E@Oeeyv,g!wU^q/Ve%Ky*Ac#CWi$TfR**sS!,6/25/1985,1,Cjekfmo,Jigrmfirjxoqdoa,8:44:3
M@FeP\LzJdx/og/F&,ALZM%ioq!I@J,5/9/1998,20,Xcovwctyati,Qgnlpomg,8:31:36
wZ%bbx##!UeK*SgfOaVpm^*woaVu$&,f\&y@\JrPhonZZ/Bex%F,4/8/1973,1,Xvpopkoyhiqvwkp,Sjijxuf,9:48:38
^Fl#@d*&mPs%W,v*wOOZX@Wi*zqSz,7/30/1980,179,Ggyrbou,Cbdnphuewqeerrj,23:9:59
\qE@wjlB,JvmjFIQ**%L,7/1/1987,45,Mlmrdlvjuuvcx,Khwpeoykvo,20:6:45
hyEVs^a*#$%\\*a%,*d*@PZknxHwwbQZOhqK!X@,11/6/1982,42,Japomllxkf,Wbhnfuqxctladjn,16:24:33
$yrcZW&oJFh,b@HY@TO!,9/25/1958,8,Qohxvk,Bkofrpras,20:54:12
JWR!A\Y&dk@O*k&t#B%*H@yNH/c*xp,/SY\e@^cf&gGm/po,8/7/1955,0,Ykfikawrjf,Doqtlrdwtv,0:56:31
&A&@Xkr&@vD!ZfH^e#/ul,#Ky$%nZ#l$u%z#P\tRJw!mG\Q,7/27/1966,46,Bdfmesrssvuhgrn,Eshsanujaqtmbc,20:38:6
%p#DH&U#z%%%Ll#^\zW,cf!^IdojeC,8/30/1956,138,Rnoyrncnrhuan,Ompkyaooxvtlo,4:24:28
uaF^Vc/Y/fYs%%*@HKg*,\u\Gj#F/aRM%ETfOx!@psCQs/OuJ,2/16/1983,109,Aqfyvs,Mmprdsextjt,9:10:46
CyM$$$&@P^tNBbR^QfUO\me@%E,hOaz^&kc!DlW&LdweS/,4/16/1978,70,Xghorouumjji,Xlnvmsjw,20:13:32
S&%w#*UID%*v%mDxFM/GL,WyAX/^&V$v@eF,2/22/1973,17,Trbrvcrpoqsav,Hsumbeb,8:13:49
